wlr_xdg_toplevel_icon_manager_v1, set_icon, wlr_xdg_toplevel_icon_manager_v1_set_icon_event
wlr_xdg_wm_dialog_v1, destroy, nullptr_t
wlr_xdg_wm_dialog_v1, new_dialog, wlr_xdg_dialog_v1
wlr_xwayland, destroy, nullptr_t
wlr_xwayland, new_surface, wlr_xwayland_surface
wlr_xwayland, ready, nullptr_t
wlr_xwayland, remove_startup_info, wlr_xwayland_remove_startup_info_event
wlr_xwayland_server, destroy, nullptr_t
wlr_xwayland_server, ready, wlr_xwayland_server_ready_event
wlr_xwayland_server, start, nullptr_t
wlr_xwayland_shell_v1, destroy, nullptr_t
wlr_xwayland_shell_v1, new_surface, wlr_xwayland_surface_v1
wlr_xwayland_surface, associate, nullptr_t
wlr_xwayland_surface, destroy, nullptr_t
wlr_xwayland_surface, dissociate, nullptr_t
wlr_xwayland_surface, focus_in, nullptr_t
wlr_xwayland_surface, grab_focus, nullptr_t
wlr_xwayland_surface, map_request, nullptr_t
wlr_xwayland_surface, ping_timeout, nullptr_t
wlr_xwayland_surface, request_above, nullptr_t
wlr_xwayland_surface, request_activate, nullptr_t
wlr_xwayland_surface, request_below, nullptr_t
wlr_xwayland_surface, request_close, nullptr_t
wlr_xwayland_surface, request_configure, wlr_xwayland_surface_configure_event
wlr_xwayland_surface, request_demands_attention, nullptr_t
wlr_xwayland_surface, request_fullscreen, nullptr_t
wlr_xwayland_surface, request_maximize, nullptr_t
wlr_xwayland_surface, request_minimize, wlr_xwayland_minimize_event
wlr_xwayland_surface, request_move, nullptr_t
wlr_xwayland_surface, request_resize, wlr_xwayland_resize_event
wlr_xwayland_surface, request_shaded, nullptr_t
wlr_xwayland_surface, request_skip_pager, nullptr_t
wlr_xwayland_surface, request_skip_taskbar, nullptr_t
wlr_xwayland_surface, request_sticky, nullptr_t
wlr_xwayland_surface, set_class, nullptr_t
wlr_xwayland_surface, set_decorations, nullptr_t
wlr_xwayland_surface, set_geometry, nullptr_t
wlr_xwayland_surface, set_hints, nullptr_t
wlr_xwayland_surface, set_opacity, nullptr_t
wlr_xwayland_surface, set_override_redirect, nullptr_t
wlr_xwayland_surface, set_parent, nullptr_t
wlr_xwayland_surface, set_role, nullptr_t
wlr_xwayland_surface, set_startup_id, nullptr_t
wlr_xwayland_surface, set_strut_partial, nullptr_t
wlr_xwayland_surface, set_title, nullptr_t
wlr_xwayland_surface, set_window_type, nullptr_t
